geo_level1_id,geo_level1_name,geo_level1_urban,geo_level1_population,geo_level1_longitude,geo_level1_latitude,geo_level2_id,geo_level2_name,geo_level2_urban,geo_level2_population,geo_level2_longitude,geo_level2_latitude,geo_level3_id,geo_level3_name,geo_level3_population,geo_level3_longitude,geo_level3_latitude,geo_level4_id,geo_level4_name,geo_level4_population,geo_level4_longitude,geo_level4_latitude,geo_level5_id,geo_level5_name,geo_level5_population,geo_level5_longitude,geo_level5_latitude
LVL1_Anderlecht,Anderlecht,True,115178,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
LVL1_Auderghem,Auderghem,True,32560,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
LVL1_Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,True,23690,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
LVL1_Bruxelles,Bruxelles,True,170407,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
LVL1_Etterbeek,Etterbeek,True,46427,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
LVL1_Evere,Evere,True,37957,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
LVL1_Forest,Forest,True,54524,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
LVL1_Ganshoren,Ganshoren,True,23836,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
LVL1_Ixelles,Ixelles,True,83332,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
LVL1_Jette,Jette,True,50237,0.0,0.0,LVL2_Bruxelles-Capitale,Bruxelles-Capitale,True,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,Bruxelles-Capitale,Bruxelles-Capitale,1163486,0.0,0.0,CO0000,Belgium,11150516,0.0,0.0
