site_id,value
SITE_1718,4.08846445619
SITE_21238,4.33753410567
SITE_1869,4.43495184056
SITE_4025,3.12665602739
SITE_4020,2.97418979047
SITE_1868,4.17739484201
SITE_3798,4.71407010673
SITE_5982,3.82472015231
SITE_10892,4.89565681366
SITE_10891,6.08897261898
SITE_5986,2.87249774679
SITE_5984,4.29427552377
SITE_5985,4.41397993877
SITE_2781,4.60989911623
SITE_2068,5.56988071447
SITE_19409,4.33523422294
SITE_19407,4.37417913734
SITE_3996,4.92527233067
SITE_19402,3.70570007175
SITE_3991,5.0393945818
SITE_4686,3.95581191359
SITE_19371,5.48938313356
SITE_19370,5.59984055895
SITE_6357,4.32087035746
SITE_16679,4.4882123658
SITE_6150,3.2325245788
SITE_6151,3.21485734408
SITE_6152,3.34113706923
SITE_6154,5.57143210199
SITE_2132,4.60664762681
SITE_4682,3.88445447173
SITE_4732,4.44473982063
SITE_4733,4.4740485317
SITE_4730,4.42896920336
SITE_4731,4.39581322638
SITE_10963,4.32420023231
SITE_4737,4.49930029364
SITE_2318,5.34430708921
SITE_4735,4.49675061542
SITE_2314,5.34542552101
SITE_4739,5.29201392075
SITE_2313,5.36813697282
SITE_21171,5.65600891327
SITE_2311,2.89924267837
SITE_4938,4.61750048786
SITE_2872,4.90482984149
SITE_6296,3.13176664672
SITE_5858,4.85854956997
SITE_3773,3.25167074438
SITE_21100,6.16804582212
SITE_21105,4.44487284241
SITE_21107,5.07468474522
SITE_21106,3.21114325415
SITE_21109,3.23563186171
SITE_21108,5.49431904489
SITE_3779,4.68424695511
SITE_4788,4.30689537079
SITE_2782,5.46175808381
SITE_4657,4.27653620052
SITE_21999,5.70168398475
SITE_16255,2.76553332058
SITE_17381,3.20471208765
SITE_1992,5.36384430468
SITE_4658,4.36977398228
SITE_16703,4.32788286128
SITE_12014,4.04934382699
SITE_12011,4.46271991217
SITE_12013,2.69361332103
SITE_12012,3.38053955813
SITE_16381,5.89892237351
SITE_2268,4.16793434619
SITE_2269,4.41193344373
SITE_19573,5.48135340113
SITE_2262,3.68127363718
SITE_2263,4.31212365864
SITE_2260,4.43415137855
SITE_2261,5.48711501202
SITE_2266,5.74080918313
SITE_2267,4.66685988456
SITE_2265,5.12111452121
SITE_12525,4.35407170017
SITE_17032,3.91687054952
SITE_7995,3.20680260873
SITE_9257,4.45852734953
SITE_9255,4.47036176446
SITE_9253,4.52542953529
SITE_21319,4.46146616244
SITE_4110,3.77367081301
SITE_6055,4.3559774191
SITE_7865,5.08854471068
SITE_7864,5.66319400518
SITE_21619,4.31592881977
SITE_7860,4.44322643025
SITE_21615,4.33656783297
SITE_21614,4.3498996248
SITE_21617,4.35675078592
SITE_21611,5.39858400293
SITE_21610,4.22842027287
SITE_21613,4.34105214281
SITE_21612,4.34956736008
SITE_4813,3.85475781945
SITE_2047,5.32648761164
SITE_4810,4.10913085411
SITE_2042,4.42554974615
SITE_2043,5.56860499334
SITE_2040,3.53682894176
SITE_2041,5.57138426462
SITE_4818,2.71695539439
SITE_16814,5.42817932875
SITE_2048,5.87929506678
SITE_2049,4.48843607688
SITE_21291,5.1361059605
SITE_21290,5.32431267751
SITE_21293,5.45770230702
SITE_21292,4.66293581624
SITE_21295,3.57975261561
SITE_21294,4.55965952108
SITE_21297,4.10190079508
SITE_21296,5.79043547314
SITE_21299,5.07683890609
SITE_21298,5.1796043459
SITE_12123,3.71638701795
SITE_12125,4.35764958662
SITE_12126,4.42097838139
SITE_2328,3.31781740619
SITE_3155,4.20900963654
SITE_16455,5.17842401067
SITE_2838,4.48993068511
SITE_10380,4.2984015444
SITE_17725,4.72181635331
SITE_17726,5.46526731732
SITE_11264,3.29887586702
SITE_16230,4.33739274459
SITE_17721,5.45470338814
SITE_21728,5.04631027218
SITE_3518,4.91246785225
SITE_7269,3.02972798801
SITE_3513,4.33156058038
SITE_7264,3.27993704507
SITE_7267,3.1405672129
SITE_3510,4.52693898727
SITE_21725,5.24120196721
SITE_7260,2.78058905557
SITE_21727,5.66433206377
SITE_3514,4.31135411815
SITE_6205,5.18436911466
SITE_6206,3.14219197762
SITE_2688,4.64470325821
SITE_6203,4.3284389777
SITE_2684,4.76615774621
SITE_2685,3.84385670534
SITE_2687,4.62867653985
SITE_2680,3.95867146947
SITE_2682,6.02338372792
SITE_2683,4.84060296196
SITE_5407,5.69221741312
SITE_6809,5.4642492359
SITE_1434,4.41348254561
SITE_1432,5.11981094496
SITE_2701,4.859310395
SITE_1623,3.22359436813
SITE_21434,4.4340292553
SITE_1621,3.26079194995
SITE_21436,5.82739440508
SITE_21431,5.85591669832
