DISTRIBUTOR_ID,PRODUCT_TYPE_ID,TARGET_SELLIN_UNITS,TARGET_SELLIN_VALUE,TARGET_SELLOUT_UNITS,TARGET_SELLOUT_VALUE
DIST0,physical_recharge,4128,25676160,4104,841320
DIST0,electronic_recharge,856,4171288,7718,23377822
DIST0,handset,6348,9909228,3826,6837062
DIST0,mfs,2158,5254730,8527,82694846
DIST0,sim,3047,21015159,9345,22783110
DIST1,mfs,6503,63703388,6841,36886672
DIST1,sim,9208,34272176,5436,12502800
DIST2,physical_recharge,6341,43156846,8851,23658723
DIST2,electronic_recharge,5866,20425412,605,1017005
DIST2,handset,5146,49689776,9149,13339242
DIST3,sim,625,5420000,5158,34290384
DIST3,electronic_recharge,8136,44552736,6938,49467940
DIST3,physical_recharge,3470,28787120,2899,11987365
DIST4,handset,390,3442920,9256,46631728
DIST4,mfs,5098,39478912,6733,32944569
DIST5,mfs,2036,12264864,1593,3590622
DIST5,sim,697,4803724,1622,10218600
DIST6,physical_recharge,6955,64945790,5926,41369406
DIST6,electronic_recharge,5322,48999654,7678,30911628
DIST6,handset,4427,8123545,3346,17730454
DIST7,physical_recharge,2229,10177614,4248,24553440
DIST7,electronic_recharge,8989,72523252,8210,80187070
DIST7,sim,8872,22827656,5050,46384250
DIST8,handset,2973,16039335,3626,10910634
DIST8,mfs,3373,7724170,608,3018112
DIST9,mfs,6158,10591760,8245,50797445
DIST9,sim,9307,2345364,1621,1967894
DIST10,physical_recharge,3757,34075990,3707,17893689
DIST10,electronic_recharge,3796,28211872,9912,77630784
DIST10,handset,9072,36070272,2396,7281444
DIST11,physical_recharge,3309,25757256,5682,21159768
DIST11,electronic_recharge,8783,15923579,5700,24424500
DIST11,sim,9238,88536992,9785,38249565
DIST12,handset,4377,27706410,8489,15186821
DIST12,mfs,6084,52060788,538,3365728
DIST13,mfs,8418,60314970,6711,30729669
DIST13,sim,7659,37207422,6571,15244720
DIST14,physical_recharge,270,489240,3446,18532588
DIST14,electronic_recharge,8733,69907665,9308,64402052
DIST14,handset,3171,14145831,9358,17546250
DIST15,physical_recharge,6384,55496112,8304,38148576
DIST15,electronic_recharge,5787,29426895,6337,11013706
DIST15,sim,5420,33365520,3974,294076
DIST16,handset,236,303968,976,4769712
DIST16,mfs,9620,77691120,7624,21324328
DIST17,mfs,300,388200,9028,87634796
DIST17,sim,6431,25035883,3729,1696695
DIST18,physical_recharge,2570,14666990,7320,38312880
DIST18,electronic_recharge,6551,34124159,7327,18141652
DIST18,handset,2980,28631840,8027,26465019
DIST19,physical_recharge,6641,51899415,8798,86352370
DIST19,electronic_recharge,6164,1319096,9128,16083536
DIST19,sim,8204,51676996,3512,7146920
DIST20,handset,2957,1043821,8299,67163807
DIST20,mfs,7066,44770176,9150,35529450
DIST21,mfs,5453,35013713,5685,27680265
DIST21,sim,5215,15994405,9187,69784452
DIST22,physical_recharge,7204,3623612,5349,46867938
DIST22,electronic_recharge,5462,13726006,4076,31201780
DIST22,handset,4315,5730320,9930,47445540
DIST23,physical_recharge,9670,34309160,4104,13305168
DIST23,electronic_recharge,7368,58126152,3869,32538290
DIST23,sim,3347,20617520,6645,26825865
DIST24,handset,8652,64422792,4805,17884210
DIST24,mfs,8091,6561801,5853,52636029
DIST25,mfs,244,2108404,6746,60700508
DIST25,sim,7196,3137456,8329,59593995
DIST26,physical_recharge,3121,29234407,7414,70833356
DIST26,electronic_recharge,489,4414203,7238,27482686
DIST26,handset,8181,74610720,4105,38968765
