DISTRIBUTOR_ID,PRODUCT_TYPE_ID,TARGET_SELLIN_UNITS,TARGET_SELLIN_VALUE,TARGET_SELLOUT_UNITS,TARGET_SELLOUT_VALUE
DIST0,physical_recharge,3205,30774410,4687,38264668
DIST0,electronic_recharge,4707,4377510,9987,45640590
DIST0,handset,5191,29386251,6160,60269440
DIST0,mfs,1349,3429158,9819,77363901
DIST0,sim,8890,64434720,2310,11813340
DIST1,mfs,3136,2869440,4717,29585024
DIST1,sim,3719,26735891,3377,22764357
DIST2,physical_recharge,8994,27530634,5610,8734770
DIST2,electronic_recharge,1590,7853010,2748,579828
DIST2,handset,2058,20242488,477,4717530
DIST3,sim,26,41210,916,2949520
DIST3,electronic_recharge,34,14552,9043,54972397
DIST3,physical_recharge,2255,2101660,2711,16135872
DIST4,handset,4527,34400673,8976,33911328
DIST4,mfs,6319,61054178,3653,36204883
DIST5,mfs,4585,17638495,6859,6077074
DIST5,sim,2324,23086616,8601,6992613
DIST6,physical_recharge,377,1356446,2434,4128064
DIST6,electronic_recharge,5422,30563814,8277,59147442
DIST6,handset,647,927151,6249,41105922
DIST7,physical_recharge,3466,22626048,5079,49571040
DIST7,electronic_recharge,1758,10393296,3920,8028160
DIST7,sim,9305,55150735,2060,16381120
DIST8,handset,7162,25095648,6375,61047000
DIST8,mfs,7144,13480728,3381,27014190
DIST9,mfs,589,3560505,42,311220
DIST9,sim,2073,15908202,6736,53234608
DIST10,physical_recharge,7642,42795200,4628,3461744
DIST10,electronic_recharge,9429,3092712,9569,20984817
DIST10,handset,3699,1316844,8201,17402522
DIST11,physical_recharge,2828,14940324,3332,28125412
DIST11,electronic_recharge,8001,26691336,8970,14818440
DIST11,sim,823,5531383,9405,9028800
DIST12,handset,3282,29341080,4707,37119402
DIST12,mfs,3437,144354,1801,15430968
DIST13,mfs,8917,36042514,229,1218738
DIST13,sim,4826,17359122,3680,18687040
DIST14,physical_recharge,5747,764351,2208,16860288
DIST14,electronic_recharge,9124,53183796,1066,7488650
DIST14,handset,9799,8740708,1418,13648250
DIST15,physical_recharge,3010,24477320,8934,28946160
DIST15,electronic_recharge,6895,46589515,8540,1819020
DIST15,sim,4884,13782648,898,8447486
DIST16,handset,9900,33264000,4537,290368
DIST16,mfs,2041,14101269,5226,36268440
DIST17,mfs,5212,40163672,3665,27150320
DIST17,sim,6996,15678036,4154,5578822
DIST18,physical_recharge,5659,5144031,2189,8845749
DIST18,electronic_recharge,5568,35356800,8032,6441664
DIST18,handset,1892,15283576,1801,3515552
DIST19,physical_recharge,833,7964313,6762,9270702
DIST19,electronic_recharge,4530,24593370,8004,67673820
DIST19,sim,6959,67460546,8956,88216600
DIST20,handset,2525,16016075,9159,30389562
DIST20,mfs,6536,29359712,7354,69892416
DIST21,mfs,673,2221573,1479,7022292
DIST21,sim,3247,12728240,6413,51464325
DIST22,physical_recharge,1896,13681536,2803,2315278
DIST22,electronic_recharge,2077,14158909,1764,14341320
DIST22,handset,7379,72100209,5132,10392300
DIST23,physical_recharge,4438,31416602,8689,61483364
DIST23,electronic_recharge,5448,27011184,6264,57140208
DIST23,sim,2191,5891599,5991,40007898
DIST24,handset,3787,19578790,293,656027
DIST24,mfs,9563,43798540,1786,3266594
DIST25,mfs,6073,34160625,8756,25497472
DIST25,sim,9482,28578748,9412,75691304
DIST26,physical_recharge,6066,48437010,5007,38553900
DIST26,electronic_recharge,3445,5195060,5581,16558827
DIST26,handset,2104,13612880,204,103836
