DISTRIBUTOR_ID,PRODUCT_TYPE_ID,TARGET_SELLIN_UNITS,TARGET_SELLIN_VALUE,TARGET_SELLOUT_UNITS,TARGET_SELLOUT_VALUE
DIST0,physical_recharge,3978,11595870,4048,26502256
DIST0,electronic_recharge,8756,30269492,5357,23319021
DIST0,handset,7944,9651960,5531,12018863
DIST0,mfs,2275,20149675,6294,4040748
DIST0,sim,1963,243412,702,3912246
DIST1,mfs,2689,21455531,5948,51955780
DIST1,sim,4749,6900297,3037,9029001
DIST2,physical_recharge,809,2450461,6605,16254905
DIST2,electronic_recharge,5614,45563224,3419,25406589
DIST2,handset,1654,12042774,3072,14929920
DIST3,sim,2443,22636838,5868,46902924
DIST3,electronic_recharge,249,439734,7886,45825546
DIST3,physical_recharge,8467,41124219,2818,12638730
DIST4,handset,7606,50351720,8672,57937632
DIST4,mfs,6228,29333880,9037,90144075
DIST5,mfs,2844,4322880,8703,20190960
DIST5,sim,5713,40465179,5911,42771996
DIST6,physical_recharge,9283,24247196,8845,55405080
DIST6,electronic_recharge,2502,1536228,3436,30930872
DIST6,handset,2275,7311850,7868,23824304
DIST7,physical_recharge,1066,373100,3695,22351055
DIST7,electronic_recharge,7684,1805740,7099,53597450
DIST7,sim,7421,19725018,7214,53499024
DIST8,handset,1832,6183000,7233,3905820
DIST8,mfs,4099,7870080,7459,64788874
DIST9,mfs,591,5332002,962,5955742
DIST9,sim,9680,20899120,4305,12325215
DIST10,physical_recharge,8053,11338624,8135,66658190
DIST10,electronic_recharge,2563,22764566,8405,27610425
DIST10,handset,379,745114,6536,36810752
DIST11,physical_recharge,426,636870,6832,21117712
DIST11,electronic_recharge,408,184416,8857,79057582
DIST11,sim,371,1640562,1945,6259010
DIST12,handset,8528,47219536,5091,49316517
DIST12,mfs,7526,2152436,2659,18836356
DIST13,mfs,4106,12223562,4293,25770879
DIST13,sim,6349,13707491,8154,45955944
DIST14,physical_recharge,9367,80200254,8553,11324172
DIST14,electronic_recharge,4777,22881830,3275,15104300
DIST14,handset,246,1264194,591,622323
DIST15,physical_recharge,4411,29606632,6568,30403272
DIST15,electronic_recharge,5708,39322412,8591,17224955
DIST15,sim,6597,15041160,5842,53004466
DIST16,handset,4382,12046118,5226,15029976
DIST16,mfs,3766,3265122,5098,3267818
DIST17,mfs,2717,5564416,5358,30074454
DIST17,sim,8677,1457736,6748,60522812
DIST18,physical_recharge,7143,41122251,503,2595983
DIST18,electronic_recharge,1932,17643024,7163,19927466
DIST18,handset,3752,21367640,5938,57663918
DIST19,physical_recharge,3745,4007150,2345,1972145
DIST19,electronic_recharge,8359,68961750,2787,20138862
DIST19,sim,5740,42803180,7835,41337460
DIST20,handset,3282,5910882,5791,51667302
DIST20,mfs,3365,18036400,300,2409600
DIST21,mfs,3699,15084522,1964,5670068
DIST21,sim,4164,9839532,4893,39026568
DIST22,physical_recharge,3768,35332536,42,174006
DIST22,electronic_recharge,9145,35784385,7089,43958889
DIST22,handset,9794,61663024,6231,54253317
DIST23,physical_recharge,4291,16048340,5769,53345943
DIST23,electronic_recharge,9094,24171852,5224,41494232
DIST23,sim,7288,9634736,7003,50001420
DIST24,handset,2368,19242368,4060,34684580
DIST24,mfs,8646,70127706,7630,57461530
DIST25,mfs,9350,73247900,589,2443172
DIST25,sim,3563,23804403,807,2173251
DIST26,physical_recharge,1381,5471522,8516,27293780
DIST26,electronic_recharge,3072,20499456,3435,19009290
DIST26,handset,3618,23907744,5244,8573940
