DISTRIBUTOR_ID,PRODUCT_TYPE_ID,TARGET_SELLIN_UNITS,TARGET_SELLIN_VALUE,TARGET_SELLOUT_UNITS,TARGET_SELLOUT_VALUE
DIST0,physical_recharge,4631,3227807,9948,89959764
DIST0,electronic_recharge,1339,8137103,9967,22973935
DIST0,handset,8050,58434950,7141,21101655
DIST0,mfs,3091,30730722,522,2369880
DIST0,sim,442,2799186,570,4382160
DIST1,mfs,1296,4421952,1491,4043592
DIST1,sim,7441,71336867,8714,56632286
DIST2,physical_recharge,7833,69580539,8432,910656
DIST2,electronic_recharge,6178,1285024,3849,24137079
DIST2,handset,5460,39497640,5418,52684632
DIST3,sim,1457,1576474,29,48662
DIST3,electronic_recharge,1053,155844,4572,34203132
DIST3,physical_recharge,253,296010,1497,5815845
DIST4,handset,8426,64121860,67,443741
DIST4,mfs,2932,6585272,8014,80011776
DIST5,mfs,2951,24912342,1972,15612324
DIST5,sim,6189,35599128,7758,62684640
DIST6,physical_recharge,1224,1964520,6045,38579190
DIST6,electronic_recharge,650,3005600,8641,37208146
DIST6,handset,2463,1514745,4165,30754360
DIST7,physical_recharge,8800,22457600,344,434472
DIST7,electronic_recharge,300,2100300,2772,21940380
DIST7,sim,1142,6065162,2572,7780300
DIST8,handset,9637,65859258,6444,32220
DIST8,mfs,4750,6042000,6366,21536178
DIST9,mfs,2044,7360444,1968,12179952
DIST9,sim,6863,57999213,2672,6022688
DIST10,physical_recharge,2267,8188404,6240,53433120
DIST10,electronic_recharge,3938,5895186,4058,33551544
DIST10,handset,4809,1187823,3100,16851600
DIST11,physical_recharge,5219,29596949,6559,51704597
DIST11,electronic_recharge,3502,26930380,4247,11683497
DIST11,sim,384,1556352,7519,60144481
DIST12,handset,3038,21153594,7932,48980100
DIST12,mfs,7512,75082440,1135,991990
DIST13,mfs,5242,597588,397,694750
DIST13,sim,8646,45322332,9682,69971814
DIST14,physical_recharge,3379,16617922,2934,26162478
DIST14,electronic_recharge,7395,43098060,3474,8163900
DIST14,handset,6109,36611237,5853,38126442
DIST15,physical_recharge,7662,28035258,7833,49990206
DIST15,electronic_recharge,9077,80848839,8854,51601112
DIST15,sim,6920,13417880,1339,4832451
DIST16,handset,3456,19941120,9205,59280200
DIST16,mfs,8321,21201908,4534,32191400
DIST17,mfs,260,307060,9959,20884023
DIST17,sim,8050,33286750,3374,13651204
DIST18,physical_recharge,2385,13038795,4278,28209132
DIST18,electronic_recharge,9967,24578622,8759,63844351
DIST18,handset,4866,45745266,2325,5624175
DIST19,physical_recharge,9110,31903220,9707,66861816
DIST19,electronic_recharge,8573,30022646,7461,69640974
DIST19,sim,6570,39098070,3903,12415443
DIST20,handset,652,6300276,9589,1812321
DIST20,mfs,130,146640,6404,33038236
DIST21,mfs,9505,33058390,4189,20186791
DIST21,sim,7221,13156662,682,1548140
DIST22,physical_recharge,4293,23353920,3046,16780414
DIST22,electronic_recharge,6121,33989913,4006,24757080
DIST22,handset,2331,2277387,4395,430710
DIST23,physical_recharge,4536,18515952,4267,29105207
DIST23,electronic_recharge,837,3748086,1361,9844113
DIST23,sim,738,471582,7993,24514531
DIST24,handset,5299,26881827,8509,4594860
DIST24,mfs,6960,52909920,5603,31522478
DIST25,mfs,7098,62213970,7832,20410192
DIST25,sim,9339,20816631,519,3013314
DIST26,physical_recharge,6236,50143676,2533,18141346
DIST26,electronic_recharge,214,1000236,4313,13335796
DIST26,handset,3068,3816592,5293,48409778
