DISTRIBUTOR_ID,PRODUCT_TYPE_ID,TARGET_SELLIN_UNITS,TARGET_SELLIN_VALUE,TARGET_SELLOUT_UNITS,TARGET_SELLOUT_VALUE
DIST0,physical_recharge,3097,641079,704,5206080
DIST0,electronic_recharge,9425,83571475,4044,23269176
DIST0,handset,4503,16643088,7066,64300600
DIST0,mfs,875,565250,2073,2964390
DIST0,sim,4555,19686710,2905,5929105
DIST1,mfs,3240,8420760,1793,3939221
DIST1,sim,8613,28448739,2586,2994588
DIST2,physical_recharge,6105,17612925,4057,38488759
DIST2,electronic_recharge,1783,15091312,7555,56080765
DIST2,handset,4200,30206400,9330,8163750
DIST3,sim,8779,22439124,3283,16030889
DIST3,electronic_recharge,6234,47340996,167,1374911
DIST3,physical_recharge,8331,31074630,3707,19039152
DIST4,handset,1776,111888,3534,2169876
DIST4,mfs,6298,53652662,5633,37966420
DIST5,mfs,9221,37068420,3494,22738952
DIST5,sim,4152,31538592,8339,2093089
DIST6,physical_recharge,5071,40192746,7544,48613536
DIST6,electronic_recharge,2078,1508628,4820,42256940
DIST6,handset,7725,58586400,7395,70156365
DIST7,physical_recharge,9491,9908604,9385,41706940
DIST7,electronic_recharge,1266,10146990,6034,42081116
DIST7,sim,269,2564646,2072,10987816
DIST8,handset,6023,41269596,6388,24069984
DIST8,mfs,618,3861882,7436,44452408
DIST9,mfs,2483,21857849,8097,50128527
DIST9,sim,6966,64839528,3488,34346336
DIST10,physical_recharge,7861,46199097,7517,35111907
DIST10,electronic_recharge,5669,51287443,3547,20157601
DIST10,handset,7867,74760101,4030,37918270
DIST11,physical_recharge,208,999856,8798,68237288
DIST11,electronic_recharge,7374,8236758,8455,41150485
DIST11,sim,4492,13089688,3231,6823872
DIST12,handset,7045,38416385,4725,19580400
DIST12,mfs,9329,68372241,5342,22810340
DIST13,mfs,1963,14092377,6919,67536359
DIST13,sim,2333,16498976,9185,37833015
DIST14,physical_recharge,8622,13545162,9136,38097120
DIST14,electronic_recharge,520,28600,6107,48538436
DIST14,handset,8880,54416640,9408,47152896
DIST15,physical_recharge,501,2670330,4166,33869580
DIST15,electronic_recharge,4838,21814542,9183,8549373
DIST15,sim,2407,3490150,785,7055580
DIST16,handset,9214,32101576,1369,5091311
DIST16,mfs,2827,7565052,1558,500118
DIST17,mfs,4268,16427532,1850,2151550
DIST17,sim,9787,89580411,4248,4940424
DIST18,physical_recharge,2113,16200371,7536,46979424
DIST18,electronic_recharge,8027,53829062,9272,23309808
DIST18,handset,6153,42363405,908,3212504
DIST19,physical_recharge,1616,3316032,302,1869984
DIST19,electronic_recharge,1544,13809536,2827,13583735
DIST19,sim,1083,1580097,1600,6662400
DIST20,handset,1155,5241390,485,3182085
DIST20,mfs,6613,34037111,1306,5700690
DIST21,mfs,3152,24456368,3390,21929910
DIST21,sim,1575,10519425,294,1523214
DIST22,physical_recharge,1083,9333294,7859,41196878
DIST22,electronic_recharge,6986,32484900,7047,17476560
DIST22,handset,736,550528,653,1056554
DIST23,physical_recharge,6562,19764744,9023,63964047
DIST23,electronic_recharge,5805,8365005,6296,17635096
DIST23,sim,7393,69568130,7885,45567415
DIST24,handset,4195,12807335,9574,95500650
DIST24,mfs,8738,65980638,279,555768
DIST25,mfs,5428,36573864,441,1686384
DIST25,sim,376,3656224,4747,5454303
DIST26,physical_recharge,298,967904,9832,65982552
DIST26,electronic_recharge,3187,9095698,2638,26005404
DIST26,handset,826,409696,7550,31589200
