DISTRIBUTOR_ID,PRODUCT_TYPE_ID,TARGET_SELLIN_UNITS,TARGET_SELLIN_VALUE,TARGET_SELLOUT_UNITS,TARGET_SELLOUT_VALUE
DIST0,physical_recharge,3096,3235320,8915,5438150
DIST0,electronic_recharge,6899,56806366,152,731272
DIST0,handset,6969,9638127,7203,54036906
DIST0,mfs,379,2812559,3080,17673040
DIST0,sim,4236,39314316,5739,15110787
DIST1,mfs,8576,70434688,1971,2718009
DIST1,sim,1865,4449890,8042,37741106
DIST2,physical_recharge,3215,22839360,1151,1781748
DIST2,electronic_recharge,4252,7194384,1336,5591160
DIST2,handset,8825,49878900,1390,13127160
DIST3,sim,2392,14708408,6383,20725601
DIST3,electronic_recharge,7870,62078560,8989,30958116
DIST3,physical_recharge,1365,2583945,3610,22807980
DIST4,handset,2802,26935626,9264,21473952
DIST4,mfs,4128,37837248,8007,53198508
DIST5,mfs,8304,50920128,6480,63698400
DIST5,sim,6263,29022742,4328,25457296
DIST6,physical_recharge,5593,28820729,9390,82124940
DIST6,electronic_recharge,8518,8407266,9408,52647168
DIST6,handset,745,2937535,9729,48178008
DIST7,physical_recharge,6443,62387569,7422,66545652
DIST7,electronic_recharge,1979,11874000,973,3112627
DIST7,sim,3225,30624600,2867,20301227
DIST8,handset,3563,14996667,6705,5545035
DIST8,mfs,8648,12409880,7487,2096360
DIST9,mfs,8404,29077840,2519,18073825
DIST9,sim,9748,10722800,9461,54552126
DIST10,physical_recharge,5332,26148128,4569,9201966
DIST10,electronic_recharge,5277,3408942,1389,11881506
DIST10,handset,5188,29846564,6521,25855765
DIST11,physical_recharge,3998,30220882,6227,21738457
DIST11,electronic_recharge,2669,19184772,1421,3347876
DIST11,sim,1353,8733615,7129,15904799
DIST12,handset,7850,10424800,3605,28789530
DIST12,mfs,76,707864,6076,49324968
DIST13,mfs,9735,36788565,1213,6510171
DIST13,sim,3940,4448260,2074,13171974
DIST14,physical_recharge,6620,24758800,3652,14231844
DIST14,electronic_recharge,5704,54883888,3993,1365606
DIST14,handset,5030,5050120,7159,2570081
DIST15,physical_recharge,8257,43506133,389,1889762
DIST15,electronic_recharge,3639,31426404,3990,11104170
DIST15,sim,4884,44292996,9503,50042798
DIST16,handset,2524,23707932,4334,9703826
DIST16,mfs,5575,7576425,5784,44426904
DIST17,mfs,511,267764,1110,11036730
DIST17,sim,1038,4608720,3093,24812046
DIST18,physical_recharge,8772,38781012,6393,31236198
DIST18,electronic_recharge,8875,32589000,572,4942080
DIST18,handset,6951,59368491,594,5126220
DIST19,physical_recharge,7188,48749016,4383,27275409
DIST19,electronic_recharge,3003,29972943,5048,43104872
DIST19,sim,8160,22954080,5537,1683248
DIST20,handset,9478,81510800,3738,28502250
DIST20,mfs,6781,14240100,5342,35107624
DIST21,mfs,655,1622435,7786,66835024
DIST21,sim,6046,59057328,3683,19582511
DIST22,physical_recharge,9447,78891897,8787,87773343
DIST22,electronic_recharge,5817,16904202,8077,17672476
DIST22,handset,7323,54080355,8144,9894960
DIST23,physical_recharge,6495,58039320,4886,22343678
DIST23,electronic_recharge,9766,58810852,4811,15621317
DIST23,sim,5094,21593466,6076,34870164
DIST24,handset,6664,6903904,9507,41441013
DIST24,mfs,9476,42632524,683,2771614
DIST25,mfs,2211,19651368,5318,21729348
DIST25,sim,4477,14492049,2250,8316000
DIST26,physical_recharge,6862,45584266,6641,58361108
DIST26,electronic_recharge,9010,5216790,6749,17891599
DIST26,handset,4382,32510058,9508,9612588
