DISTRIBUTOR_ID,PRODUCT_TYPE_ID,TARGET_SELLIN_UNITS,TARGET_SELLIN_VALUE,TARGET_SELLOUT_UNITS,TARGET_SELLOUT_VALUE
DIST0,physical_recharge,476,2217684,2116,1515056
DIST0,electronic_recharge,2992,6663184,194,1399710
DIST0,handset,9300,49345800,4136,29133984
DIST0,mfs,1850,4134750,8441,74846347
DIST0,sim,7013,46923983,4524,16028532
DIST1,mfs,3752,3905832,7004,12523152
DIST1,sim,1529,10305460,7462,42518476
DIST2,physical_recharge,9538,17416388,7176,868296
DIST2,electronic_recharge,8353,15461403,1261,9848410
DIST2,handset,8958,83837922,4658,10536396
DIST3,sim,7548,286824,8288,36840160
DIST3,electronic_recharge,7952,19991328,9549,17579709
DIST3,physical_recharge,8978,25030664,3429,17436465
DIST4,handset,4737,3998028,4428,16020504
DIST4,mfs,7795,63326580,8669,80587024
DIST5,mfs,1327,9604826,8707,31989518
DIST5,sim,6475,4823875,3630,17351400
DIST6,physical_recharge,7229,46858378,4462,29431352
DIST6,electronic_recharge,6776,23763432,8888,57007632
DIST6,handset,38,123082,6813,65956653
DIST7,physical_recharge,510,3083460,5917,15384200
DIST7,electronic_recharge,9530,89419990,9562,25396672
DIST7,sim,1426,289478,3589,23256720
DIST8,handset,929,9180378,8649,36265257
DIST8,mfs,8478,25035534,1172,10995704
DIST9,mfs,5141,28948971,8183,24123484
DIST9,sim,8077,4684660,5980,44126420
DIST10,physical_recharge,9880,33364760,5394,19682706
DIST10,electronic_recharge,3969,23151177,5865,37418700
DIST10,handset,3035,5975915,3235,13092045
DIST11,physical_recharge,6435,53687205,6195,36284115
DIST11,electronic_recharge,417,1630470,8959,84295231
DIST11,sim,2007,7869447,8890,21158200
DIST12,handset,1785,2195550,1536,2577408
DIST12,mfs,234,1074294,6784,62046464
DIST13,mfs,9355,57261955,6235,9826360
DIST13,sim,3002,237158,5777,50993579
DIST14,physical_recharge,1009,1215845,6286,23063334
DIST14,electronic_recharge,4137,40815642,256,2217984
DIST14,handset,8222,52069926,4472,39071864
DIST15,physical_recharge,800,4764800,7997,37537918
DIST15,electronic_recharge,1576,6315032,7730,51234440
DIST15,sim,7312,31383104,278,359732
DIST16,handset,1678,4919896,5729,36533833
DIST16,mfs,8698,14595244,8599,4669257
DIST17,mfs,5972,43858368,226,923436
DIST17,sim,5354,20714626,8908,54802016
DIST18,physical_recharge,7315,10394615,1195,2994670
DIST18,electronic_recharge,4144,1624448,7182,61434828
DIST18,handset,7348,10537032,9280,79520320
DIST19,physical_recharge,8214,58516536,8540,54229000
DIST19,electronic_recharge,3129,43806,9119,829829
DIST19,sim,1291,2225684,5735,10827680
DIST20,handset,780,3856320,2374,2307528
DIST20,mfs,5905,49477995,8146,1914310
DIST21,mfs,2322,11349936,4339,30190762
DIST21,sim,26,194480,8361,36662985
DIST22,physical_recharge,8120,58374680,5054,40295542
DIST22,electronic_recharge,5861,19986010,1739,3738850
DIST22,handset,5486,20665762,843,5095092
DIST23,physical_recharge,7671,34619223,3979,11117326
DIST23,electronic_recharge,6237,54361692,9262,21339648
DIST23,sim,3693,31837353,6308,38112936
DIST24,handset,6842,65094788,835,5579470
DIST24,mfs,4085,34959430,7899,23760192
DIST25,mfs,6318,61745814,1146,2725188
DIST25,sim,8355,54491310,7357,61894441
DIST26,physical_recharge,2329,13021439,5819,10497476
DIST26,electronic_recharge,1929,2553996,2877,15389073
DIST26,handset,4707,35909703,616,5197808
