DISTRIBUTOR_ID,PRODUCT_TYPE_ID,TARGET_SELLIN_UNITS,TARGET_SELLIN_VALUE,TARGET_SELLOUT_UNITS,TARGET_SELLOUT_VALUE
DIST0,physical_recharge,2768,25723024,4470,32166120
DIST0,electronic_recharge,5035,5095420,6623,59971265
DIST0,handset,5156,20216676,942,6793704
DIST0,mfs,5267,40102938,28,5404
DIST0,sim,3165,7627650,9471,20182701
DIST1,mfs,7622,5876562,9273,81018201
DIST1,sim,1463,14290584,1016,7020560
DIST2,physical_recharge,4145,12658830,7292,69857360
DIST2,electronic_recharge,4840,23232000,9789,69266964
DIST2,handset,877,4072788,9962,99480532
DIST3,sim,2182,14673950,6367,5997714
DIST3,electronic_recharge,3638,16156358,5046,37259664
DIST3,physical_recharge,9975,49515900,5156,36287928
DIST4,handset,8083,22769811,9027,22080042
DIST4,mfs,4351,12496072,1764,12035772
DIST5,mfs,6897,63976572,1432,10476512
DIST5,sim,4650,2078550,7865,52750555
DIST6,physical_recharge,3177,15335379,740,2832720
DIST6,electronic_recharge,8923,36111381,9339,36095235
DIST6,handset,1333,8124635,5785,8041150
DIST7,physical_recharge,118,308334,2822,19658052
DIST7,electronic_recharge,5548,28178292,1422,5692266
DIST7,sim,6196,58019344,8157,75762216
DIST8,handset,2751,25628316,3302,5966714
DIST8,mfs,9891,85923117,293,1246129
DIST9,mfs,5797,31466116,7351,20641608
DIST9,sim,2341,19125970,821,4230613
DIST10,physical_recharge,20,43880,25,152925
DIST10,electronic_recharge,6214,22575462,736,227424
DIST10,handset,8382,9278874,6347,53816213
DIST11,physical_recharge,7384,62660624,6983,62721306
DIST11,electronic_recharge,1205,11843945,7804,109256
DIST11,sim,5718,15347112,1321,7110943
DIST12,handset,1768,947648,1737,11109852
DIST12,mfs,5491,10531738,643,5257168
DIST13,mfs,3456,31024512,9778,39669346
DIST13,sim,9792,93846528,3940,29557880
DIST14,physical_recharge,1041,4383651,3094,4554368
DIST14,electronic_recharge,6820,63528300,1707,1428759
DIST14,handset,9976,18485528,1242,8168634
DIST15,physical_recharge,4840,8765240,1977,12397767
DIST15,electronic_recharge,7675,24229975,9056,14489600
DIST15,sim,3739,706671,7102,16796230
DIST16,handset,2824,15769216,5535,44390700
DIST16,mfs,2236,15444052,780,2121600
DIST17,mfs,6987,59906538,5005,12242230
DIST17,sim,9227,61562544,6993,62923014
DIST18,physical_recharge,4620,18507720,6132,60663876
DIST18,electronic_recharge,6126,46833270,217,1359505
DIST18,handset,6995,67152000,5998,32839050
DIST19,physical_recharge,9603,70706889,1521,10621143
DIST19,electronic_recharge,197,1773000,1099,2662877
DIST19,sim,2593,20253923,6808,28280432
DIST20,handset,570,98610,9211,37055853
DIST20,mfs,3266,10363018,8507,36273848
DIST21,mfs,4886,14975590,2914,28053078
DIST21,sim,9662,76465068,8815,60418010
DIST22,physical_recharge,6872,53361080,9974,78395640
DIST22,electronic_recharge,3276,28799316,8447,42885419
DIST22,handset,1015,2518215,9947,8126699
DIST23,physical_recharge,1682,2923316,9973,6761694
DIST23,electronic_recharge,9180,43513200,733,6739935
DIST23,sim,8528,50767184,3253,1021442
DIST24,handset,3543,18278337,685,6308850
DIST24,mfs,1989,7275762,6606,2609370
DIST25,mfs,2374,2533058,5262,50325768
DIST25,sim,6382,52740848,2613,13198263
DIST26,physical_recharge,3033,18935019,3976,5240368
DIST26,electronic_recharge,1860,18255900,848,5588320
DIST26,handset,4098,24075750,7919,38533854
