distributor_id,geo_level2_id,product_type_id,target_sellout_units,target_sellout_value
DIST0,LVL2_Tongres,physical_recharge,3519,31526721
DIST0,LVL2_Gand,physical_recharge,8161,13090244
DIST0,LVL2_Marche-en-Famenne,physical_recharge,2187,18001197
DIST0,LVL2_Termonde,physical_recharge,3478,2535462
DIST0,LVL2_Bruges,physical_recharge,7414,51037976
DIST0,LVL2_Charleroi,physical_recharge,4003,20219153
DIST0,LVL2_Mons,physical_recharge,4165,11362120
DIST0,LVL2_Turnhout,physical_recharge,2718,20338794
DIST0,LVL2_Virton,physical_recharge,1123,8835764
DIST0,LVL2_Arlon,physical_recharge,5504,34955904
DIST0,LVL2_Alost,physical_recharge,1849,6952240
DIST0,LVL2_Namur,physical_recharge,5346,28077192
DIST0,LVL2_Maaseik,physical_recharge,9140,48597380
DIST0,LVL2_Neufchteau,physical_recharge,1769,10989028
DIST0,LVL2_Eeklo,physical_recharge,7237,55218310
DIST0,LVL2_Nivelles,physical_recharge,5358,43094394
DIST0,LVL2_Soignies,physical_recharge,6813,22823550
DIST0,LVL2_Ypres,physical_recharge,7247,49736161
DIST0,LVL2_Anvers,physical_recharge,8137,47658409
DIST0,LVL2_Philippeville,physical_recharge,4580,43848920
DIST0,LVL2_Courtrai,physical_recharge,7096,7301784
DIST0,LVL2_Furnes,physical_recharge,8319,35979675
DIST0,LVL2_Verviers,physical_recharge,4744,25209616
DIST0,LVL2_Dixmude,physical_recharge,7433,40138200
DIST0,LVL2_Hal-Vilvorde,physical_recharge,8280,49001040
DIST0,LVL2_Thuin,physical_recharge,7635,20583960
DIST0,LVL2_Waremme,physical_recharge,8519,29143499
DIST0,LVL2_Mouscron,physical_recharge,1581,14055090
DIST0,LVL2_Tournai,physical_recharge,8592,21840864
DIST0,LVL2_Hasselt,physical_recharge,3808,32211872
DIST0,LVL2_Louvain,physical_recharge,3230,2099500
DIST0,LVL2_Bruxelles-Capitale,physical_recharge,2478,6356070
DIST0,LVL2_Huy,physical_recharge,7601,20796336
DIST0,LVL2_Roulers,physical_recharge,4675,33127050
DIST0,LVL2_Audenarde,physical_recharge,8223,32119038
DIST0,LVL2_Bastogne,physical_recharge,3097,28647250
DIST0,LVL2_Ostende,physical_recharge,1493,11251248
DIST0,LVL2_Dinant,physical_recharge,7960,60543760
DIST0,LVL2_Lige,physical_recharge,2601,3722031
DIST0,LVL2_Malines,physical_recharge,593,3437028
DIST0,LVL2_Saint-Nicolas,physical_recharge,2148,21052548
DIST0,LVL2_Tielt,physical_recharge,3645,32837805
DIST0,LVL2_Ath,physical_recharge,6048,18766944
DIST0,LVL2_Tongres,electronic_recharge,1175,8517575
DIST0,LVL2_Gand,electronic_recharge,4524,40906008
DIST0,LVL2_Marche-en-Famenne,electronic_recharge,2396,23051916
DIST0,LVL2_Termonde,electronic_recharge,2959,27613388
DIST0,LVL2_Bruges,electronic_recharge,5563,2597921
DIST0,LVL2_Charleroi,electronic_recharge,7569,13389561
DIST0,LVL2_Mons,electronic_recharge,7485,41886060
DIST0,LVL2_Turnhout,electronic_recharge,5246,15003560
DIST0,LVL2_Virton,electronic_recharge,895,2079980
DIST0,LVL2_Arlon,electronic_recharge,449,81718
DIST0,LVL2_Alost,electronic_recharge,3882,9972858
DIST0,LVL2_Namur,electronic_recharge,9147,16876215
DIST0,LVL2_Maaseik,electronic_recharge,5599,4249641
DIST0,LVL2_Neufchteau,electronic_recharge,6935,21949275
DIST0,LVL2_Eeklo,electronic_recharge,9048,32265168
DIST0,LVL2_Nivelles,electronic_recharge,9201,36169131
DIST0,LVL2_Soignies,electronic_recharge,2109,6683421
DIST0,LVL2_Ypres,electronic_recharge,5829,11051784
DIST0,LVL2_Anvers,electronic_recharge,6120,27980640
DIST0,LVL2_Philippeville,electronic_recharge,4542,38448030
DIST0,LVL2_Courtrai,electronic_recharge,9185,83243655
DIST0,LVL2_Furnes,electronic_recharge,5324,2182840
DIST0,LVL2_Verviers,electronic_recharge,5677,54215350
DIST0,LVL2_Dixmude,electronic_recharge,7830,22190220
DIST0,LVL2_Hal-Vilvorde,electronic_recharge,4294,227582
DIST0,LVL2_Thuin,electronic_recharge,2664,8953704
DIST0,LVL2_Waremme,electronic_recharge,3707,25003715
DIST0,LVL2_Mouscron,electronic_recharge,1265,11264825
DIST0,LVL2_Tournai,electronic_recharge,3816,30528000
DIST0,LVL2_Hasselt,electronic_recharge,176,210496
DIST0,LVL2_Louvain,electronic_recharge,5897,54576735
DIST0,LVL2_Bruxelles-Capitale,electronic_recharge,1189,6155453
DIST0,LVL2_Huy,electronic_recharge,5724,44149212
DIST0,LVL2_Roulers,electronic_recharge,1511,4102365
DIST0,LVL2_Audenarde,electronic_recharge,4152,34121136
DIST0,LVL2_Bastogne,electronic_recharge,2041,8127262
DIST0,LVL2_Ostende,electronic_recharge,9424,36188160
DIST0,LVL2_Dinant,electronic_recharge,1307,3028319
DIST0,LVL2_Lige,electronic_recharge,3548,14646144
DIST0,LVL2_Malines,electronic_recharge,3081,25144041
DIST0,LVL2_Saint-Nicolas,electronic_recharge,6146,45670926
DIST0,LVL2_Tielt,electronic_recharge,4356,35436060
DIST0,LVL2_Ath,electronic_recharge,7522,16766538
DIST0,LVL2_Tongres,handset,4023,31914459
DIST0,LVL2_Gand,handset,2243,9344338
DIST0,LVL2_Marche-en-Famenne,handset,563,2017792
